BIRTH_YEAR,COUNTY_NAME,POP,HPV1_RATE,HPVCOMP_RATE,MENACWY1_RATE,TDAP_RATE,ADOLSERIES_RATE
2011,MCLEOD,488,60.9,44.9,79.5,82.2,44.5
2011,NICOLLET,518,68.7,54.8,81.5,82.8,54.2
2011,PENNINGTON,224,56.7,40.6,83.5,85.3,39.7
2011,GRANT,96,53.1,36.5,78.1,79.2,35.4
2012,MILLE LACS,398,54.5,32.4,70.6,73.6,32.4
2012,JACKSON,142,36.6,22.5,69,72.5,21.1
2011,BENTON,620,63.9,51.3,78.4,79.2,50.8
2011,WINONA,596,63.6,50.7,73,74.2,50.3
2011,GOODHUE,709,63.3,45.3,77.7,79.8,44.6
2012,LYON,469,50.5,31.8,69.3,70.6,31.1
2011,AITKIN,132,59.1,32.6,78,83.3,31.1
2010,BENTON,621,68.6,58.1,84.7,87,58
2010,DOUGLAS,490,65.9,55.9,85.3,86.7,55.3
2010,GOODHUE,645,65.4,52.1,77.5,80.8,51.6
2010,KANABEC,240,59.6,46.7,84.2,87.5,46.7
2010,HUBBARD,298,56.4,44.6,70.8,74.8,43.6
2010,KITTSON,54,51.9,35.2,85.2,85.2,35.2
2011,CHIPPEWA,203,60.6,39.4,85.7,87.7,38.9
2011,WATONWAN,197,55.3,31.5,76.6,78.2,31
2011,LAKE,128,51.6,36.7,70.3,71.1,35.9
2012,GRANT,74,55.4,31.1,74.3,79.7,31.1
2012,AITKIN,143,49.7,32.2,65,74.8,31.5
2012,STEVENS,145,49,34.5,71,69.7,33.8
2010,WINONA,592,67.7,57.3,80.6,80.2,56.6
2011,HENNEPIN,18913,61.8,48.8,70.5,72.1,48.1
2011,OLMSTED,2979,62.3,51.8,69,69.3,50.9
2012,RAMSEY,8435,61.8,42.2,72.7,73.7,41.8
2010,BLUE EARTH,877,68,55.5,80.7,81.3,54.6
2011,KANDIYOHI,703,56.6,44.5,78.5,79.9,44.1
2011,MEEKER,352,46.9,34.4,73.9,75.6,34.1
2011,KITTSON,59,35.6,22,64.4,71.2,22
2012,SHERBURNE,1672,58.7,38.3,79.3,81.3,38.2
2012,OTTER TAIL,804,51.2,32.8,74.1,78.2,32.3
2012,ISANTI,573,49.9,32.1,76.1,78.4,32.1
2012,COOK,47,55.3,36.2,59.6,63.8,34
2012,SIBLEY,224,50.9,31.7,72.3,76.8,30.4
2010,NO ADDRESS ,4,25,0,25,25,0
2010,ST LOUIS,2425,63.1,51.9,76.7,78.4,51.4
2010,STEELE,581,67.1,55.1,82.1,82.1,54.9
2011,STEARNS,2364,63.1,48.8,77.5,79.4,48.6
2011,WRIGHT,2495,59,43.6,79.7,81.5,43.2
2011,PINE,359,50.7,29.5,72.1,76,29.2
2010,NICOLLET,479,70.4,59.1,84.1,84.3,58.9
2011,SIBLEY,237,60.8,37.1,78.1,81,36.7
2011,REDWOOD,205,61.5,46.8,83.4,84.9,46.8
2012,BENTON,608,59.9,44.2,78,79.6,44.2
2012,WASHINGTON,4452,64.6,48.6,79.1,80,48.3
2012,STEELE,555,59.5,41.8,79.5,80.7,41.3
2012,MARSHALL,114,50.9,33.3,86.8,86.8,33.3
2012,CLAY,1181,58.8,36.2,59.4,60.5,34.1
2012,LINCOLN,68,48.5,29.4,64.7,66.2,27.9
2010,CASS,395,55.2,38.2,74.2,77.2,38
2011,CROW WING,890,50.7,34.4,70,73.4,33.9
2012,HENNEPIN,18842,59.3,43.1,69.4,70.8,42.6
2012,DAKOTA,7215,61.6,44.4,75.8,76.8,44.1
2012,STEARNS,2280,56.5,41,75,77.6,40.6
2010,RICE,969,62.7,50.4,77.5,78.6,49.7
2010,NOBLES,501,47.9,32.1,71.7,72.3,31.9
2010,MILLE LACS,390,56.7,38.2,78.7,79,38.2
2011,BECKER,549,61.4,43.4,75.2,78.1,42.4
2011,BELTRAMI,791,60.9,39.2,74.1,77.1,38.8
2011,MORRISON,459,59.7,48.1,83,85.6,47.7
2011,NORMAN,94,57.4,30.9,68.1,70.2,29.8
2011,HUBBARD,296,50,35.5,69.6,73,34.1
2011,MURRAY,121,62,42.1,83.5,85.1,42.1
2011,HOUSTON,256,64.1,52.7,76.6,78.9,52.3
2012,CASS,428,47.9,26.9,68.7,72.4,26.6
2012,TODD,409,47.7,29.1,67.2,72.1,28.9
2012,POLK,540,46.5,27.4,68.9,70.6,27.4
2012,MEEKER,331,48.9,29,74.9,77.9,29
2012,HOUSTON,272,62.1,48.2,73.5,76.1,46.3
2010,WASHINGTON,4555,70.4,60.7,81.3,81.2,58.9
2010,STEARNS,2372,66.7,56.6,80.2,82,56.3
2011,FILLMORE,315,55.9,41.6,66.3,72.4,41.3
2012,KANDIYOHI,660,58.3,39.8,78.6,80.5,39.8
2012,SCOTT,2677,60.8,44.9,75.4,77.3,44.2
2010,REDWOOD,237,64.6,49.8,81,82.7,49.4
2010,AITKIN,142,59.9,43.7,74.6,82.4,42.3
2010,FARIBAULT,204,65.2,47.5,82.4,82.4,46.1
2010,ROCK,144,40.3,30.6,50.7,56.3,28.5
2010,LAC QUI PARLE,92,63,48.9,87,83.7,46.7
2011,OTTER TAIL,812,50.4,36.8,74.9,77.3,36.1
2011,DOUGLAS,521,59.5,45.9,79.8,81.6,45.5
2011,CASS,420,52.4,30.5,72.9,76.2,30
2012,ITASCA,567,51,29.8,75,76.4,29.8
2012,MARTIN,254,49.2,29.1,74.8,78.3,28
2012,WILKIN,94,62.8,37.2,63.8,63.8,37.2
2010,COOK,56,55.4,44.6,62.5,69.6,44.6
2011,STEELE,610,59.5,45.2,78.2,79.2,44.9
2011,TODD,410,45.1,30.5,64.9,67.8,30.2
2012,GOODHUE,656,58.2,40.4,77,79.1,40.2
2012,ST LOUIS,2444,57.8,40.4,73.5,75.6,39.9
2012,KANABEC,201,51.2,28.9,75.6,80.1,28.4
2010,MURRAY,100,60,42,79,80,42
2010,YELLOW MEDICINE,130,66.2,56.9,79.2,80,56.9
2010,HOUSTON,252,70.2,59.1,79.4,82.1,59.1
2011,MILLE LACS,374,54.3,34.8,74.9,75.4,34.5
2011,LYON,474,60.3,46.2,72.6,73.4,45.4
2011,WADENA,203,52.7,35,71.4,76.8,35
2011,FARIBAULT,171,63.7,45,77.8,76.6,43.9
2012,CHISAGO,796,55.5,34.3,79.5,80.7,34.3
2012,COTTONWOOD,201,39.3,21.9,70.6,72.6,21.9
2012,MORRISON,450,56,39.6,79.1,82.4,39.3
2012,KITTSON,59,42.4,23.7,74.6,76.3,23.7
2012,WADENA,205,42.9,22.4,66.3,72.2,21.5
2012,KOOCHICHING,115,50.4,34.8,71.3,73,34.8
2012,LAKE OF THE WOODS,37,35.1,5.4,64.9,70.3,5.4
2010,LYON,470,63.2,50.4,76.4,76.4,49.1
2010,NORMAN,95,57.9,41.1,74.7,73.7,40
2010,BECKER,580,58.3,45.2,75.5,77.6,44.5
2010,WASECA,266,66.9,48.1,83.8,85.7,48.1
2010,RED LAKE,60,66.7,50,86.7,85,50
2011,DODGE,355,70.4,60,83.4,84.8,59.4
2011,CHISAGO,755,58.5,40.8,83.2,84.6,40.8
2011,RICE,941,59.5,44.7,75.7,77.8,44.6
2011,CARLTON,507,68.2,52.5,85.4,85.6,51.7
2011,LE SUEUR,459,66.9,50.1,82.8,84.7,49.2
2012,HUBBARD,268,37.7,26.1,63.8,68.3,25.7
2011,Statewide,87503,61.5,47.1,74.9,76.4,46.5
2010,Statewide,87169,65.1,52.9,77.6,78.8,52.1
2012,Statewide,86112,58.7,41.1,73.4,75,40.6
