Row, County ,Year,REGION,Age,Vaccine,Percent
745,Eau Claire,2024,Western,19–59 years old,HepB Complete,50.2%
746,Eau Claire,2024,Western,19–64 years old,Td or Tdap,62.7%
747,Eau Claire,2024,Western,19–64 years old,Tdap,52.6%
748,Eau Claire,2024,Western,50 years and older,Zoster (Shingles) Complete,37.8%
749,Eau Claire,2025,Western,19–26 years old,HPV Complete,55.4%
750,Eau Claire,2025,Western,19–49 years old,HepA Complete,19.0%
751,Eau Claire,2025,Western,19–59 years old,HepB (1),57.7%
752,Eau Claire,2025,Western,19–59 years old,HepB Complete,52.0%
753,Eau Claire,2025,Western,19–64 years old,Td or Tdap,62.6%
754,Eau Claire,2025,Western,19–64 years old,Tdap,53.2%
755,Eau Claire,2025,Western,50 years and older,Pneumo Complete,49.4%
756,Eau Claire,2025,Western,50 years and older,Zoster (Shingles) Complete,41.2%
757,Florence,2014,Northern,19–26 years old,HPV Complete,12.7%
758,Florence,2015,Northern,19–26 years old,HPV Complete,14.3%
759,Florence,2016,Northern,19–26 years old,HPV Complete,15.6%
760,Florence,2017,Northern,19–26 years old,HPV Complete,24.5%
761,Florence,2018,Northern,19–26 years old,HPV Complete,33.6%
762,Florence,2018,Northern,50 years and older,Zoster (Shingles) Complete,0.9%
763,Florence,2019,Northern,19–26 years old,HPV Complete,40.4%
764,Florence,2019,Northern,19–49 years old,HepA Complete,6.2%
765,Florence,2019,Northern,50 years and older,Zoster (Shingles) Complete,4.3%
766,Florence,2020,Northern,19–26 years old,HPV Complete,43.9%
767,Florence,2020,Northern,19–49 years old,HepA Complete,7.9%
768,Florence,2020,Northern,50 years and older,Zoster (Shingles) Complete,9.0%
769,Florence,2021,Northern,19–26 years old,HPV Complete,36.2%
770,Florence,2021,Northern,19–49 years old,HepA Complete,8.9%
771,Florence,2021,Northern,50 years and older,Zoster (Shingles) Complete,11.8%
772,Florence,2022,Northern,19–26 years old,HPV Complete,38.2%
773,Florence,2022,Northern,19–49 years old,HepA Complete,9.4%
774,Florence,2022,Northern,19–59 years old,HepB (1),46.1%
775,Florence,2022,Northern,19–59 years old,HepB Complete,41.6%
776,Florence,2022,Northern,50 years and older,Zoster (Shingles) Complete,14.2%
777,Florence,2023,Northern,19–26 years old,HPV Complete,43.0%
778,Florence,2023,Northern,19–49 years old,HepA Complete,11.5%
779,Florence,2023,Northern,19–59 years old,HepB (1),47.8%
780,Florence,2023,Northern,19–59 years old,HepB Complete,43.2%
781,Florence,2023,Northern,19–64 years old,Td or Tdap,42.8%
782,Florence,2023,Northern,19–64 years old,Tdap,36.2%
783,Florence,2023,Northern,50 years and older,Zoster (Shingles) Complete,16.9%
784,Florence,2024,Northern,19–26 years old,HPV Complete,45.1%
785,Florence,2024,Northern,19–49 years old,HepA Complete,13.7%
786,Florence,2024,Northern,19–59 years old,HepB (1),50.1%
787,Florence,2024,Northern,19–59 years old,HepB Complete,45.6%
788,Florence,2024,Northern,19–64 years old,Td or Tdap,42.1%
789,Florence,2024,Northern,19–64 years old,Tdap,37.3%
790,Florence,2024,Northern,50 years and older,Zoster (Shingles) Complete,23.5%
791,Florence,2025,Northern,19–26 years old,HPV Complete,47.5%
792,Florence,2025,Northern,19–49 years old,HepA Complete,15.9%
793,Florence,2025,Northern,19–59 years old,HepB (1),52.5%
794,Florence,2025,Northern,19–59 years old,HepB Complete,48.1%
795,Florence,2025,Northern,19–64 years old,Td or Tdap,43.4%
796,Florence,2025,Northern,19–64 years old,Tdap,38.2%
797,Florence,2025,Northern,50 years and older,Pneumo Complete,38.2%
798,Florence,2025,Northern,50 years and older,Zoster (Shingles) Complete,25.9%
799,Fond du Lac,2014,Northeastern,19–26 years old,HPV Complete,19.7%
800,Fond du Lac,2015,Northeastern,19–26 years old,HPV Complete,21.1%
801,Fond du Lac,2016,Northeastern,19–26 years old,HPV Complete,23.8%
802,Fond du Lac,2017,Northeastern,19–26 years old,HPV Complete,27.5%
803,Fond du Lac,2018,Northeastern,19–26 years old,HPV Complete,30.9%
804,Fond du Lac,2018,Northeastern,50 years and older,Zoster (Shingles) Complete,1.9%
805,Fond du Lac,2019,Northeastern,19–26 years old,HPV Complete,34.5%
806,Fond du Lac,2019,Northeastern,19–49 years old,HepA Complete,10.3%
807,Fond du Lac,2019,Northeastern,50 years and older,Zoster (Shingles) Complete,6.2%
808,Fond du Lac,2020,Northeastern,19–26 years old,HPV Complete,36.0%
809,Fond du Lac,2020,Northeastern,19–49 years old,HepA Complete,11.9%
810,Fond du Lac,2020,Northeastern,50 years and older,Zoster (Shingles) Complete,15.3%
811,Fond du Lac,2021,Northeastern,19–26 years old,HPV Complete,39.3%
812,Fond du Lac,2021,Northeastern,19–49 years old,HepA Complete,13.6%
813,Fond du Lac,2021,Northeastern,50 years and older,Zoster (Shingles) Complete,22.3%
814,Fond du Lac,2022,Northeastern,19–26 years old,HPV Complete,42.3%
815,Fond du Lac,2022,Northeastern,19–49 years old,HepA Complete,13.9%
816,Fond du Lac,2022,Northeastern,19–59 years old,HepB (1),49.8%
817,Fond du Lac,2022,Northeastern,19–59 years old,HepB Complete,43.9%
818,Fond du Lac,2022,Northeastern,50 years and older,Zoster (Shingles) Complete,27.2%
819,Fond du Lac,2023,Northeastern,19–26 years old,HPV Complete,49.8%
820,Fond du Lac,2023,Northeastern,19–49 years old,HepA Complete,17.4%
821,Fond du Lac,2023,Northeastern,19–59 years old,HepB (1),52.7%
822,Fond du Lac,2023,Northeastern,19–59 years old,HepB Complete,47.0%
823,Fond du Lac,2023,Northeastern,19–64 years old,Td or Tdap,66.1%
824,Fond du Lac,2023,Northeastern,19–64 years old,Tdap,60.9%
825,Fond du Lac,2023,Northeastern,50 years and older,Zoster (Shingles) Complete,32.9%
826,Fond du Lac,2024,Northeastern,19–26 years old,HPV Complete,52.8%
827,Fond du Lac,2024,Northeastern,19–49 years old,HepA Complete,19.6%
828,Fond du Lac,2024,Northeastern,19–59 years old,HepB (1),55.1%
829,Fond du Lac,2024,Northeastern,19–59 years old,HepB Complete,49.4%
830,Fond du Lac,2024,Northeastern,19–64 years old,Td or Tdap,66.6%
831,Fond du Lac,2024,Northeastern,19–64 years old,Tdap,60.5%
832,Fond du Lac,2024,Northeastern,50 years and older,Zoster (Shingles) Complete,36.6%
833,Fond du Lac,2025,Northeastern,19–26 years old,HPV Complete,55.1%
834,Fond du Lac,2025,Northeastern,19–49 years old,HepA Complete,22.1%
835,Fond du Lac,2025,Northeastern,19–59 years old,HepB (1),57.5%
836,Fond du Lac,2025,Northeastern,19–59 years old,HepB Complete,51.7%
837,Fond du Lac,2025,Northeastern,19–64 years old,Td or Tdap,66.1%
838,Fond du Lac,2025,Northeastern,19–64 years old,Tdap,60.1%
839,Fond du Lac,2025,Northeastern,50 years and older,Pneumo Complete,48.1%
840,Fond du Lac,2025,Northeastern,50 years and older,Zoster (Shingles) Complete,39.4%
841,Forest,2014,Northern,19–26 years old,HPV Complete,21.4%
842,Forest,2015,Northern,19–26 years old,HPV Complete,21.4%
843,Forest,2016,Northern,19–26 years old,HPV Complete,22.3%
844,Forest,2017,Northern,19–26 years old,HPV Complete,25.9%
845,Forest,2018,Northern,19–26 years old,HPV Complete,29.5%
846,Forest,2018,Northern,50 years and older,Zoster (Shingles) Complete,1.4%
847,Forest,2019,Northern,19–26 years old,HPV Complete,32.7%
848,Forest,2019,Northern,19–49 years old,HepA Complete,5.4%
849,Forest,2019,Northern,50 years and older,Zoster (Shingles) Complete,5.6%
850,Forest,2020,Northern,19–26 years old,HPV Complete,34.9%
851,Forest,2020,Northern,19–49 years old,HepA Complete,6.2%
852,Forest,2020,Northern,50 years and older,Zoster (Shingles) Complete,9.9%
853,Forest,2021,Northern,19–26 years old,HPV Complete,38.5%
854,Forest,2021,Northern,19–49 years old,HepA Complete,7.8%
855,Forest,2021,Northern,50 years and older,Zoster (Shingles) Complete,12.9%
856,Forest,2022,Northern,19–26 years old,HPV Complete,42.0%
857,Forest,2022,Northern,19–49 years old,HepA Complete,8.1%
858,Forest,2022,Northern,19–59 years old,HepB (1),52.7%
859,Forest,2022,Northern,19–59 years old,HepB Complete,48.3%
860,Forest,2022,Northern,50 years and older,Zoster (Shingles) Complete,16.2%
861,Forest,2023,Northern,19–26 years old,HPV Complete,48.1%
862,Forest,2023,Northern,19–49 years old,HepA Complete,11.5%
863,Forest,2023,Northern,19–59 years old,HepB (1),58.5%
864,Forest,2023,Northern,19–59 years old,HepB Complete,54.1%
865,Forest,2023,Northern,19–64 years old,Td or Tdap,62.0%
866,Forest,2023,Northern,19–64 years old,Tdap,51.9%
867,Forest,2023,Northern,50 years and older,Zoster (Shingles) Complete,21.5%
868,Forest,2024,Northern,19–26 years old,HPV Complete,50.6%
869,Forest,2024,Northern,19–49 years old,HepA Complete,13.9%
870,Forest,2024,Northern,19–59 years old,HepB (1),60.3%
871,Forest,2024,Northern,19–59 years old,HepB Complete,55.9%
872,Forest,2024,Northern,19–64 years old,Td or Tdap,62.3%
873,Forest,2024,Northern,19–64 years old,Tdap,52.6%
874,Forest,2024,Northern,50 years and older,Zoster (Shingles) Complete,27.8%
875,Forest,2025,Northern,19–26 years old,HPV Complete,52.6%
876,Forest,2025,Northern,19–49 years old,HepA Complete,16.7%
877,Forest,2025,Northern,19–59 years old,HepB (1),62.4%
878,Forest,2025,Northern,19–59 years old,HepB Complete,57.9%
879,Forest,2025,Northern,19–64 years old,Td or Tdap,63.4%
880,Forest,2025,Northern,19–64 years old,Tdap,53.3%
881,Forest,2025,Northern,50 years and older,Pneumo Complete,46.8%
882,Forest,2025,Northern,50 years and older,Zoster (Shingles) Complete,30.6%
883,Grant,2014,Southern,19–26 years old,HPV Complete,13.8%
884,Grant,2015,Southern,19–26 years old,HPV Complete,14.9%
885,Grant,2016,Southern,19–26 years old,HPV Complete,17.2%
886,Grant,2017,Southern,19–26 years old,HPV Complete,20.2%
887,Grant,2018,Southern,19–26 years old,HPV Complete,21.8%
888,Grant,2018,Southern,50 years and older,Zoster (Shingles) Complete,2.4%
889,Grant,2019,Southern,19–26 years old,HPV Complete,24.9%
890,Grant,2019,Southern,19–49 years old,HepA Complete,3.4%
891,Grant,2019,Southern,50 years and older,Zoster (Shingles) Complete,9.3%
892,Grant,2020,Southern,19–26 years old,HPV Complete,27.0%
893,Grant,2020,Southern,19–49 years old,HepA Complete,4.3%
894,Grant,2020,Southern,50 years and older,Zoster (Shingles) Complete,14.1%
895,Grant,2021,Southern,19–26 years old,HPV Complete,29.3%
896,Grant,2021,Southern,19–49 years old,HepA Complete,5.1%
897,Grant,2021,Southern,50 years and older,Zoster (Shingles) Complete,17.6%
898,Grant,2022,Southern,19–26 years old,HPV Complete,32.1%
899,Grant,2022,Southern,19–49 years old,HepA Complete,5.3%
900,Grant,2022,Southern,19–59 years old,HepB (1),46.2%
901,Grant,2022,Southern,19–59 years old,HepB Complete,40.3%
902,Grant,2022,Southern,50 years and older,Zoster (Shingles) Complete,20.9%
903,Grant,2023,Southern,19–26 years old,HPV Complete,38.9%
904,Grant,2023,Southern,19–49 years old,HepA Complete,7.6%
905,Grant,2023,Southern,19–59 years old,HepB (1),52.4%
906,Grant,2023,Southern,19–59 years old,HepB Complete,46.3%
907,Grant,2023,Southern,19–64 years old,Td or Tdap,56.3%
908,Grant,2023,Southern,19–64 years old,Tdap,48.3%
909,Grant,2023,Southern,50 years and older,Zoster (Shingles) Complete,28.3%
910,Grant,2024,Southern,19–26 years old,HPV Complete,41.1%
911,Grant,2024,Southern,19–49 years old,HepA Complete,9.0%
912,Grant,2024,Southern,19–59 years old,HepB (1),54.9%
913,Grant,2024,Southern,19–59 years old,HepB Complete,48.6%
914,Grant,2024,Southern,19–64 years old,Td or Tdap,57.3%
915,Grant,2024,Southern,19–64 years old,Tdap,49.0%
916,Grant,2024,Southern,50 years and older,Zoster (Shingles) Complete,31.9%
917,Grant,2025,Southern,19–26 years old,HPV Complete,42.9%
918,Grant,2025,Southern,19–49 years old,HepA Complete,10.7%
919,Grant,2025,Southern,19–59 years old,HepB (1),57.3%
920,Grant,2025,Southern,19–59 years old,HepB Complete,50.7%
921,Grant,2025,Southern,19–64 years old,Td or Tdap,58.0%
922,Grant,2025,Southern,19–64 years old,Tdap,49.6%
923,Grant,2025,Southern,50 years and older,Pneumo Complete,41.2%
924,Grant,2025,Southern,50 years and older,Zoster (Shingles) Complete,34.8%
925,Green,2014,Southern,19–26 years old,HPV Complete,23.9%
926,Green,2015,Southern,19–26 years old,HPV Complete,26.8%
927,Green,2016,Southern,19–26 years old,HPV Complete,30.5%
928,Green,2017,Southern,19–26 years old,HPV Complete,35.6%
929,Green,2018,Southern,19–26 years old,HPV Complete,38.9%
930,Green,2018,Southern,50 years and older,Zoster (Shingles) Complete,1.9%
931,Green,2019,Southern,19–26 years old,HPV Complete,43.6%
932,Green,2019,Southern,19–49 years old,HepA Complete,11.9%
933,Green,2019,Southern,50 years and older,Zoster (Shingles) Complete,7.2%
934,Green,2020,Southern,19–26 years old,HPV Complete,45.1%
935,Green,2020,Southern,19–49 years old,HepA Complete,13.8%
936,Green,2020,Southern,50 years and older,Zoster (Shingles) Complete,16.8%
937,Green,2021,Southern,19–26 years old,HPV Complete,48.8%
938,Green,2021,Southern,19–49 years old,HepA Complete,15.5%
939,Green,2021,Southern,50 years and older,Zoster (Shingles) Complete,23.6%
940,Green,2022,Southern,19–26 years old,HPV Complete,51.5%
941,Green,2022,Southern,19–49 years old,HepA Complete,15.8%
942,Green,2022,Southern,19–59 years old,HepB (1),50.0%
943,Green,2022,Southern,19–59 years old,HepB Complete,43.4%
944,Green,2022,Southern,50 years and older,Zoster (Shingles) Complete,28.7%
945,Green,2023,Southern,19–26 years old,HPV Complete,59.2%
946,Green,2023,Southern,19–49 years old,HepA Complete,19.7%
947,Green,2023,Southern,19–59 years old,HepB (1),54.2%
948,Green,2023,Southern,19–59 years old,HepB Complete,47.1%
949,Green,2023,Southern,19–64 years old,Td or Tdap,66.6%
950,Green,2023,Southern,19–64 years old,Tdap,53.8%
951,Green,2023,Southern,50 years and older,Zoster (Shingles) Complete,34.9%
952,Green,2024,Southern,19–26 years old,HPV Complete,62.4%
953,Green,2024,Southern,19–49 years old,HepA Complete,22.2%
954,Green,2024,Southern,19–59 years old,HepB (1),57.5%
955,Green,2024,Southern,19–59 years old,HepB Complete,50.4%
956,Green,2024,Southern,19–64 years old,Td or Tdap,66.4%
957,Green,2024,Southern,19–64 years old,Tdap,53.8%
958,Green,2024,Southern,50 years and older,Zoster (Shingles) Complete,39.0%
959,Green,2025,Southern,19–26 years old,HPV Complete,64.5%
960,Green,2025,Southern,19–49 years old,HepA Complete,24.9%
961,Green,2025,Southern,19–59 years old,HepB (1),60.1%
962,Green,2025,Southern,19–59 years old,HepB Complete,53.2%
963,Green,2025,Southern,19–64 years old,Td or Tdap,66.5%
964,Green,2025,Southern,19–64 years old,Tdap,54.5%
965,Green,2025,Southern,50 years and older,Pneumo Complete,52.3%
966,Green,2025,Southern,50 years and older,Zoster (Shingles) Complete,42.1%
967,Green Lake,2014,Northeastern,19–26 years old,HPV Complete,18.4%
968,Green Lake,2015,Northeastern,19–26 years old,HPV Complete,19.2%
969,Green Lake,2016,Northeastern,19–26 years old,HPV Complete,21.7%
970,Green Lake,2017,Northeastern,19–26 years old,HPV Complete,26.1%
971,Green Lake,2018,Northeastern,19–26 years old,HPV Complete,29.1%
972,Green Lake,2018,Northeastern,50 years and older,Zoster (Shingles) Complete,3.4%
973,Green Lake,2019,Northeastern,19–26 years old,HPV Complete,31.6%
974,Green Lake,2019,Northeastern,19–49 years old,HepA Complete,10.0%
975,Green Lake,2019,Northeastern,50 years and older,Zoster (Shingles) Complete,10.6%
976,Green Lake,2020,Northeastern,19–26 years old,HPV Complete,33.2%
977,Green Lake,2020,Northeastern,19–49 years old,HepA Complete,11.0%
978,Green Lake,2020,Northeastern,50 years and older,Zoster (Shingles) Complete,16.6%
979,Green Lake,2021,Northeastern,19–26 years old,HPV Complete,35.7%
980,Green Lake,2021,Northeastern,19–49 years old,HepA Complete,13.0%
981,Green Lake,2021,Northeastern,50 years and older,Zoster (Shingles) Complete,21.6%
982,Green Lake,2022,Northeastern,19–26 years old,HPV Complete,40.1%
983,Green Lake,2022,Northeastern,19–49 years old,HepA Complete,13.4%
984,Green Lake,2022,Northeastern,19–59 years old,HepB (1),52.9%
985,Green Lake,2022,Northeastern,19–59 years old,HepB Complete,47.6%
986,Green Lake,2022,Northeastern,50 years and older,Zoster (Shingles) Complete,27.2%
987,Green Lake,2023,Northeastern,19–26 years old,HPV Complete,47.0%
988,Green Lake,2023,Northeastern,19–49 years old,HepA Complete,16.7%
989,Green Lake,2023,Northeastern,19–59 years old,HepB (1),55.4%
990,Green Lake,2023,Northeastern,19–59 years old,HepB Complete,49.6%
991,Green Lake,2023,Northeastern,19–64 years old,Td or Tdap,64.2%
992,Green Lake,2023,Northeastern,19–64 years old,Tdap,53.7%
993,Green Lake,2023,Northeastern,50 years and older,Zoster (Shingles) Complete,33.2%
994,Green Lake,2024,Northeastern,19–26 years old,HPV Complete,51.3%
995,Green Lake,2024,Northeastern,19–49 years old,HepA Complete,19.2%
996,Green Lake,2024,Northeastern,19–59 years old,HepB (1),58.4%
997,Green Lake,2024,Northeastern,19–59 years old,HepB Complete,52.3%
998,Green Lake,2024,Northeastern,19–64 years old,Td or Tdap,65.0%
999,Green Lake,2024,Northeastern,19–64 years old,Tdap,54.1%
"1,000",Green Lake,2024,Northeastern,50 years and older,Zoster (Shingles) Complete,36.4%
"1,001",Green Lake,2025,Northeastern,19–26 years old,HPV Complete,54.2%
"1,002",Green Lake,2025,Northeastern,19–49 years old,HepA Complete,21.8%
"1,003",Green Lake,2025,Northeastern,19–59 years old,HepB (1),61.3%
"1,004",Green Lake,2025,Northeastern,19–59 years old,HepB Complete,55.2%
"1,005",Green Lake,2025,Northeastern,19–64 years old,Td or Tdap,65.2%
"1,006",Green Lake,2025,Northeastern,19–64 years old,Tdap,54.8%
"1,007",Green Lake,2025,Northeastern,50 years and older,Pneumo Complete,55.0%
"1,008",Green Lake,2025,Northeastern,50 years and older,Zoster (Shingles) Complete,39.0%
"1,009",Iowa,2014,Southern,19–26 years old,HPV Complete,19.8%
"1,010",Iowa,2015,Southern,19–26 years old,HPV Complete,22.5%
"1,011",Iowa,2016,Southern,19–26 years old,HPV Complete,24.4%
"1,012",Iowa,2017,Southern,19–26 years old,HPV Complete,27.9%
"1,013",Iowa,2018,Southern,19–26 years old,HPV Complete,31.9%
"1,014",Iowa,2018,Southern,50 years and older,Zoster (Shingles) Complete,1.2%
"1,015",Iowa,2019,Southern,19–26 years old,HPV Complete,36.2%
"1,016",Iowa,2019,Southern,19–49 years old,HepA Complete,6.2%
"1,017",Iowa,2019,Southern,50 years and older,Zoster (Shingles) Complete,7.2%
"1,018",Iowa,2020,Southern,19–26 years old,HPV Complete,38.0%
"1,019",Iowa,2020,Southern,19–49 years old,HepA Complete,7.0%
"1,020",Iowa,2020,Southern,50 years and older,Zoster (Shingles) Complete,15.0%
"1,021",Iowa,2021,Southern,19–26 years old,HPV Complete,41.4%
"1,022",Iowa,2021,Southern,19–49 years old,HepA Complete,8.4%
"1,023",Iowa,2021,Southern,50 years and older,Zoster (Shingles) Complete,21.1%
"1,024",Iowa,2022,Southern,19–26 years old,HPV Complete,43.7%
"1,025",Iowa,2022,Southern,19–49 years old,HepA Complete,8.7%
"1,026",Iowa,2022,Southern,19–59 years old,HepB (1),51.1%
"1,027",Iowa,2022,Southern,19–59 years old,HepB Complete,44.4%
"1,028",Iowa,2022,Southern,50 years and older,Zoster (Shingles) Complete,26.5%
"1,029",Iowa,2023,Southern,19–26 years old,HPV Complete,49.9%
"1,030",Iowa,2023,Southern,19–49 years old,HepA Complete,11.1%
"1,031",Iowa,2023,Southern,19–59 years old,HepB (1),56.4%
"1,032",Iowa,2023,Southern,19–59 years old,HepB Complete,49.0%
"1,033",Iowa,2023,Southern,19–64 years old,Td or Tdap,66.8%
"1,034",Iowa,2023,Southern,19–64 years old,Tdap,50.0%
"1,035",Iowa,2023,Southern,50 years and older,Zoster (Shingles) Complete,33.3%
"1,036",Iowa,2024,Southern,19–26 years old,HPV Complete,52.3%
"1,037",Iowa,2024,Southern,19–49 years old,HepA Complete,13.0%
"1,038",Iowa,2024,Southern,19–59 years old,HepB (1),59.6%
"1,039",Iowa,2024,Southern,19–59 years old,HepB Complete,51.8%
"1,040",Iowa,2024,Southern,19–64 years old,Td or Tdap,67.2%
"1,041",Iowa,2024,Southern,19–64 years old,Tdap,50.1%
"1,042",Iowa,2024,Southern,50 years and older,Zoster (Shingles) Complete,37.5%
"1,043",Iowa,2025,Southern,19–26 years old,HPV Complete,54.4%
"1,044",Iowa,2025,Southern,19–49 years old,HepA Complete,15.4%
"1,045",Iowa,2025,Southern,19–59 years old,HepB (1),62.3%
"1,046",Iowa,2025,Southern,19–59 years old,HepB Complete,54.6%
"1,047",Iowa,2025,Southern,19–64 years old,Td or Tdap,67.3%
"1,048",Iowa,2025,Southern,19–64 years old,Tdap,50.2%
"1,049",Iowa,2025,Southern,50 years and older,Pneumo Complete,49.4%
"1,050",Iowa,2025,Southern,50 years and older,Zoster (Shingles) Complete,41.3%
"1,051",Iron,2014,Northern,19–26 years old,HPV Complete,25.3%
"1,052",Iron,2015,Northern,19–26 years old,HPV Complete,23.6%
"1,053",Iron,2016,Northern,19–26 years old,HPV Complete,24.4%
"1,054",Iron,2017,Northern,19–26 years old,HPV Complete,26.9%
"1,055",Iron,2018,Northern,19–26 years old,HPV Complete,32.4%
"1,056",Iron,2018,Northern,50 years and older,Zoster (Shingles) Complete,1.1%
"1,057",Iron,2019,Northern,19–26 years old,HPV Complete,36.4%
"1,058",Iron,2019,Northern,19–49 years old,HepA Complete,12.7%
"1,059",Iron,2019,Northern,50 years and older,Zoster (Shingles) Complete,5.7%
"1,060",Iron,2020,Northern,19–26 years old,HPV Complete,37.9%
"1,061",Iron,2020,Northern,19–49 years old,HepA Complete,13.8%
"1,062",Iron,2020,Northern,50 years and older,Zoster (Shingles) Complete,10.1%
"1,063",Iron,2021,Northern,19–26 years old,HPV Complete,41.6%
"1,064",Iron,2021,Northern,19–49 years old,HepA Complete,15.5%
"1,065",Iron,2021,Northern,50 years and older,Zoster (Shingles) Complete,14.7%
"1,066",Iron,2022,Northern,19–26 years old,HPV Complete,46.3%
"1,067",Iron,2022,Northern,19–49 years old,HepA Complete,15.7%
"1,068",Iron,2022,Northern,19–59 years old,HepB (1),44.3%
"1,069",Iron,2022,Northern,19–59 years old,HepB Complete,38.6%
"1,070",Iron,2022,Northern,50 years and older,Zoster (Shingles) Complete,19.8%
"1,071",Iron,2023,Northern,19–26 years old,HPV Complete,53.8%
"1,072",Iron,2023,Northern,19–49 years old,HepA Complete,19.6%
"1,073",Iron,2023,Northern,19–59 years old,HepB (1),48.0%
"1,074",Iron,2023,Northern,19–59 years old,HepB Complete,42.7%
"1,075",Iron,2023,Northern,19–64 years old,Td or Tdap,49.2%
"1,076",Iron,2023,Northern,19–64 years old,Tdap,44.2%
"1,077",Iron,2023,Northern,50 years and older,Zoster (Shingles) Complete,24.1%
"1,078",Iron,2024,Northern,19–26 years old,HPV Complete,55.3%
"1,079",Iron,2024,Northern,19–49 years old,HepA Complete,22.4%
"1,080",Iron,2024,Northern,19–59 years old,HepB (1),50.6%
"1,081",Iron,2024,Northern,19–59 years old,HepB Complete,44.9%
"1,082",Iron,2024,Northern,19–64 years old,Td or Tdap,50.3%
"1,083",Iron,2024,Northern,19–64 years old,Tdap,45.8%
"1,084",Iron,2024,Northern,50 years and older,Zoster (Shingles) Complete,29.5%
"1,085",Iron,2025,Northern,19–26 years old,HPV Complete,55.5%
"1,086",Iron,2025,Northern,19–49 years old,HepA Complete,25.4%
"1,087",Iron,2025,Northern,19–59 years old,HepB (1),52.8%
"1,088",Iron,2025,Northern,19–59 years old,HepB Complete,47.1%
"1,089",Iron,2025,Northern,19–64 years old,Td or Tdap,51.0%
"1,090",Iron,2025,Northern,19–64 years old,Tdap,46.9%
"1,091",Iron,2025,Northern,50 years and older,Pneumo Complete,41.3%
"1,092",Iron,2025,Northern,50 years and older,Zoster (Shingles) Complete,31.2%
"1,093",Jackson,2014,Western,19–26 years old,HPV Complete,19.6%
"1,094",Jackson,2015,Western,19–26 years old,HPV Complete,22.5%
"1,095",Jackson,2016,Western,19–26 years old,HPV Complete,24.9%
"1,096",Jackson,2017,Western,19–26 years old,HPV Complete,30.0%
"1,097",Jackson,2018,Western,19–26 years old,HPV Complete,33.5%
"1,098",Jackson,2018,Western,50 years and older,Zoster (Shingles) Complete,1.5%
"1,099",Jackson,2019,Western,19–26 years old,HPV Complete,38.4%
"1,100",Jackson,2019,Western,19–49 years old,HepA Complete,11.2%
"1,101",Jackson,2019,Western,50 years and older,Zoster (Shingles) Complete,5.2%
"1,102",Jackson,2020,Western,19–26 years old,HPV Complete,40.5%
"1,103",Jackson,2020,Western,19–49 years old,HepA Complete,12.5%
"1,104",Jackson,2020,Western,50 years and older,Zoster (Shingles) Complete,13.3%
"1,105",Jackson,2021,Western,19–26 years old,HPV Complete,43.9%
"1,106",Jackson,2021,Western,19–49 years old,HepA Complete,14.2%
"1,107",Jackson,2021,Western,50 years and older,Zoster (Shingles) Complete,21.8%
"1,108",Jackson,2022,Western,19–26 years old,HPV Complete,47.8%
"1,109",Jackson,2022,Western,19–49 years old,HepA Complete,14.5%
"1,110",Jackson,2022,Western,19–59 years old,HepB (1),53.5%
"1,111",Jackson,2022,Western,19–59 years old,HepB Complete,46.8%
"1,112",Jackson,2022,Western,50 years and older,Zoster (Shingles) Complete,27.8%
"1,113",Jackson,2023,Western,19–26 years old,HPV Complete,54.9%
"1,114",Jackson,2023,Western,19–49 years old,HepA Complete,18.0%
"1,115",Jackson,2023,Western,19–59 years old,HepB (1),56.7%
"1,116",Jackson,2023,Western,19–59 years old,HepB Complete,50.5%
"1,117",Jackson,2023,Western,19–64 years old,Td or Tdap,64.4%
"1,118",Jackson,2023,Western,19–64 years old,Tdap,55.6%
"1,119",Jackson,2023,Western,50 years and older,Zoster (Shingles) Complete,32.7%
"1,120",Jackson,2024,Western,19–26 years old,HPV Complete,57.1%
"1,121",Jackson,2024,Western,19–49 years old,HepA Complete,20.6%
"1,122",Jackson,2024,Western,19–59 years old,HepB (1),59.9%
"1,123",Jackson,2024,Western,19–59 years old,HepB Complete,53.4%
"1,124",Jackson,2024,Western,19–64 years old,Td or Tdap,65.8%
"1,125",Jackson,2024,Western,19–64 years old,Tdap,56.8%
"1,126",Jackson,2024,Western,50 years and older,Zoster (Shingles) Complete,37.8%
"1,127",Jackson,2025,Western,19–26 years old,HPV Complete,58.9%
"1,128",Jackson,2025,Western,19–49 years old,HepA Complete,22.9%
"1,129",Jackson,2025,Western,19–59 years old,HepB (1),62.2%
"1,130",Jackson,2025,Western,19–59 years old,HepB Complete,55.6%
"1,131",Jackson,2025,Western,19–64 years old,Td or Tdap,65.8%
"1,132",Jackson,2025,Western,19–64 years old,Tdap,56.8%
"1,133",Jackson,2025,Western,50 years and older,Pneumo Complete,47.4%
"1,134",Jackson,2025,Western,50 years and older,Zoster (Shingles) Complete,40.1%
"1,135",Jefferson,2014,Southern,19–26 years old,HPV Complete,19.1%
"1,136",Jefferson,2015,Southern,19–26 years old,HPV Complete,21.6%
"1,137",Jefferson,2016,Southern,19–26 years old,HPV Complete,25.0%
"1,138",Jefferson,2017,Southern,19–26 years old,HPV Complete,29.3%
"1,139",Jefferson,2018,Southern,19–26 years old,HPV Complete,34.8%
"1,140",Jefferson,2018,Southern,50 years and older,Zoster (Shingles) Complete,1.6%
