"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"Cayuga","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","61"
"Chautauqua","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","138"
"Chemung","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","68"
"Chenango","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","11"
"Clinton","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","55"
"Columbia","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","28"
"Cortland","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","33"
"Delaware","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","8"
"Dutchess","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","213"
"Erie","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","1627"
"Essex","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","21"
"Franklin","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","19"
"Fulton","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","46"
"Genesee","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","55"
"Greene","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","8"
"Hamilton","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","1"
"Herkimer","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","38"
"Jefferson","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","61"
"Kings","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","29"
"Livingston","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","55"
"Madison","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","60"
"Monroe","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","1468"
"Montgomery","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","34"
"Nassau","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","1347"
"New York","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","242"
"Oneida","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","181"
"Onondaga","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","659"
"Ontario","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","243"
"Orange","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","216"
"Orleans","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","29"
"Oswego","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","70"
"Otsego","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","21"
"Putnam","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","63"
"Queens","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","0"
