"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"Central New York","REGION","2024-12-17T00:00:00.000","2024-2025","1967","5025"
"Finger Lakes","REGION","2024-12-17T00:00:00.000","2024-2025","3149","8084"
"Long Island","REGION","2024-12-17T00:00:00.000","2024-2025","3788","15719"
"Mid-Hudson","REGION","2024-12-17T00:00:00.000","2024-2025","4265","13559"
"Mohawk Valley","REGION","2024-12-17T00:00:00.000","2024-2025","949","2664"
"New York City","REGION","2024-12-17T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-12-17T00:00:00.000","2024-2025","670","2533"
"Southern Tier","REGION","2024-12-17T00:00:00.000","2024-2025","1397","3549"
"Western New York","REGION","2024-12-17T00:00:00.000","2024-2025","2714","8117"
"ROS","REST OF STATE","2024-12-17T00:00:00.000","2024-2025","21274","65206"
"Albany","COUNTY","2024-12-24T00:00:00.000","2024-2025","452","995"
"Allegany","COUNTY","2024-12-24T00:00:00.000","2024-2025","45","216"
"Bronx","COUNTY","2024-12-24T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-12-24T00:00:00.000","2024-2025","247","783"
"Cattaraugus","COUNTY","2024-12-24T00:00:00.000","2024-2025","55","277"
"Cayuga","COUNTY","2024-12-24T00:00:00.000","2024-2025","68","305"
"Chautauqua","COUNTY","2024-12-24T00:00:00.000","2024-2025","174","625"
"Chemung","COUNTY","2024-12-24T00:00:00.000","2024-2025","72","319"
"Chenango","COUNTY","2024-12-24T00:00:00.000","2024-2025","53","182"
"Clinton","COUNTY","2024-12-24T00:00:00.000","2024-2025","134","387"
"Columbia","COUNTY","2024-12-24T00:00:00.000","2024-2025","98","263"
"Cortland","COUNTY","2024-12-24T00:00:00.000","2024-2025","69","185"
"Delaware","COUNTY","2024-12-24T00:00:00.000","2024-2025","61","170"
"Dutchess","COUNTY","2024-12-24T00:00:00.000","2024-2025","367","1116"
"Erie","COUNTY","2024-12-24T00:00:00.000","2024-2025","1314","4548"
"Essex","COUNTY","2024-12-24T00:00:00.000","2024-2025","64","193"
"Franklin","COUNTY","2024-12-24T00:00:00.000","2024-2025","60","166"
"Fulton","COUNTY","2024-12-24T00:00:00.000","2024-2025","36","181"
"Genesee","COUNTY","2024-12-24T00:00:00.000","2024-2025","52","208"
"Greene","COUNTY","2024-12-24T00:00:00.000","2024-2025","41","185"
"Hamilton","COUNTY","2024-12-24T00:00:00.000","2024-2025","8","31"
"Herkimer","COUNTY","2024-12-24T00:00:00.000","2024-2025","74","255"
"Jefferson","COUNTY","2024-12-24T00:00:00.000","2024-2025","104","664"
"Kings","COUNTY","2024-12-24T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-12-24T00:00:00.000","2024-2025","17","139"
"Livingston","COUNTY","2024-12-24T00:00:00.000","2024-2025","102","274"
"Madison","COUNTY","2024-12-24T00:00:00.000","2024-2025","112","341"
"Monroe","COUNTY","2024-12-24T00:00:00.000","2024-2025","1426","3815"
"Montgomery","COUNTY","2024-12-24T00:00:00.000","2024-2025","44","249"
"Nassau","COUNTY","2024-12-24T00:00:00.000","2024-2025","1364","6220"
"New York","COUNTY","2024-12-24T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-12-24T00:00:00.000","2024-2025","176","843"
"Oneida","COUNTY","2024-12-24T00:00:00.000","2024-2025","235","896"
"Onondaga","COUNTY","2024-12-24T00:00:00.000","2024-2025","873","2248"
"Ontario","COUNTY","2024-12-24T00:00:00.000","2024-2025","168","604"
"Orange","COUNTY","2024-12-24T00:00:00.000","2024-2025","317","1459"
"Orleans","COUNTY","2024-12-24T00:00:00.000","2024-2025","34","137"
"Oswego","COUNTY","2024-12-24T00:00:00.000","2024-2025","116","603"
"Otsego","COUNTY","2024-12-24T00:00:00.000","2024-2025","128","267"
"Putnam","COUNTY","2024-12-24T00:00:00.000","2024-2025","128","454"
"Queens","COUNTY","2024-12-24T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-12-24T00:00:00.000","2024-2025","185","537"
"Richmond","COUNTY","2024-12-24T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-12-24T00:00:00.000","2024-2025","267","1522"
"Saratoga","COUNTY","2024-12-24T00:00:00.000","2024-2025","340","1010"
"Schenectady","COUNTY","2024-12-24T00:00:00.000","2024-2025","232","607"
"Schoharie","COUNTY","2024-12-24T00:00:00.000","2024-2025","37","105"
"Schuyler","COUNTY","2024-12-24T00:00:00.000","2024-2025","23","50"
"Seneca","COUNTY","2024-12-24T00:00:00.000","2024-2025","31","144"
"St. Lawrence","COUNTY","2024-12-24T00:00:00.000","2024-2025","99","363"
"Steuben","COUNTY","2024-12-24T00:00:00.000","2024-2025","115","361"
"Suffolk","COUNTY","2024-12-24T00:00:00.000","2024-2025","1442","5717"
"Sullivan","COUNTY","2024-12-24T00:00:00.000","2024-2025","85","254"
"Tioga","COUNTY","2024-12-24T00:00:00.000","2024-2025","49","153"
"Tompkins","COUNTY","2024-12-24T00:00:00.000","2024-2025","333","645"
"Ulster","COUNTY","2024-12-24T00:00:00.000","2024-2025","338","834"
"Warren","COUNTY","2024-12-24T00:00:00.000","2024-2025","94","374"
"Washington","COUNTY","2024-12-24T00:00:00.000","2024-2025","86","332"
"Wayne","COUNTY","2024-12-24T00:00:00.000","2024-2025","165","366"
"Westchester","COUNTY","2024-12-24T00:00:00.000","2024-2025","1553","4720"
"Wyoming","COUNTY","2024-12-24T00:00:00.000","2024-2025","43","177"
"Yates","COUNTY","2024-12-24T00:00:00.000","2024-2025","38","111"
"Capital Region","REGION","2024-12-24T00:00:00.000","2024-2025","1528","4303"
"Central New York","REGION","2024-12-24T00:00:00.000","2024-2025","1238","3682"
"Finger Lakes","REGION","2024-12-24T00:00:00.000","2024-2025","2059","5836"
"Long Island","REGION","2024-12-24T00:00:00.000","2024-2025","2806","11937"
"Mid-Hudson","REGION","2024-12-24T00:00:00.000","2024-2025","3055","10359"
"Mohawk Valley","REGION","2024-12-24T00:00:00.000","2024-2025","554","1953"
"New York City","REGION","2024-12-24T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-12-24T00:00:00.000","2024-2025","486","1943"
"Southern Tier","REGION","2024-12-24T00:00:00.000","2024-2025","953","2663"
"Western New York","REGION","2024-12-24T00:00:00.000","2024-2025","1764","6509"
"ROS","REST OF STATE","2024-12-24T00:00:00.000","2024-2025","14443","49185"
"Albany","COUNTY","2024-12-31T00:00:00.000","2024-2025","324","679"
"Allegany","COUNTY","2024-12-31T00:00:00.000","2024-2025","22","103"
"Bronx","COUNTY","2024-12-31T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-12-31T00:00:00.000","2024-2025","194","587"
"Cattaraugus","COUNTY","2024-12-31T00:00:00.000","2024-2025","59","170"
"Cayuga","COUNTY","2024-12-31T00:00:00.000","2024-2025","53","174"
"Chautauqua","COUNTY","2024-12-31T00:00:00.000","2024-2025","109","332"
"Chemung","COUNTY","2024-12-31T00:00:00.000","2024-2025","70","220"
"Chenango","COUNTY","2024-12-31T00:00:00.000","2024-2025","53","141"
"Clinton","COUNTY","2024-12-31T00:00:00.000","2024-2025","66","220"
"Columbia","COUNTY","2024-12-31T00:00:00.000","2024-2025","69","166"
"Cortland","COUNTY","2024-12-31T00:00:00.000","2024-2025","52","111"
"Delaware","COUNTY","2024-12-31T00:00:00.000","2024-2025","53","113"
"Dutchess","COUNTY","2024-12-31T00:00:00.000","2024-2025","270","770"
"Erie","COUNTY","2024-12-31T00:00:00.000","2024-2025","940","2819"
"Essex","COUNTY","2024-12-31T00:00:00.000","2024-2025","35","114"
"Franklin","COUNTY","2024-12-31T00:00:00.000","2024-2025","30","94"
"Fulton","COUNTY","2024-12-31T00:00:00.000","2024-2025","23","157"
"Genesee","COUNTY","2024-12-31T00:00:00.000","2024-2025","59","147"
"Greene","COUNTY","2024-12-31T00:00:00.000","2024-2025","25","123"
"Hamilton","COUNTY","2024-12-31T00:00:00.000","2024-2025","7","16"
"Herkimer","COUNTY","2024-12-31T00:00:00.000","2024-2025","49","134"
"Jefferson","COUNTY","2024-12-31T00:00:00.000","2024-2025","74","319"
"Kings","COUNTY","2024-12-31T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-12-31T00:00:00.000","2024-2025","14","103"
"Livingston","COUNTY","2024-12-31T00:00:00.000","2024-2025","62","193"
"Madison","COUNTY","2024-12-31T00:00:00.000","2024-2025","79","197"
"Monroe","COUNTY","2024-12-31T00:00:00.000","2024-2025","1134","2521"
"Montgomery","COUNTY","2024-12-31T00:00:00.000","2024-2025","44","158"
"Nassau","COUNTY","2024-12-31T00:00:00.000","2024-2025","1128","4564"
"New York","COUNTY","2024-12-31T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-12-31T00:00:00.000","2024-2025","143","552"
"Oneida","COUNTY","2024-12-31T00:00:00.000","2024-2025","188","586"
"Onondaga","COUNTY","2024-12-31T00:00:00.000","2024-2025","572","1328"
"Ontario","COUNTY","2024-12-31T00:00:00.000","2024-2025","132","368"
"Orange","COUNTY","2024-12-31T00:00:00.000","2024-2025","226","912"
"Orleans","COUNTY","2024-12-31T00:00:00.000","2024-2025","40","67"
"Oswego","COUNTY","2024-12-31T00:00:00.000","2024-2025","94","363"
"Otsego","COUNTY","2024-12-31T00:00:00.000","2024-2025","103","183"
"Putnam","COUNTY","2024-12-31T00:00:00.000","2024-2025","88","304"
"Queens","COUNTY","2024-12-31T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-12-31T00:00:00.000","2024-2025","160","336"
"Richmond","COUNTY","2024-12-31T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-12-31T00:00:00.000","2024-2025","244","1220"
"Saratoga","COUNTY","2024-12-31T00:00:00.000","2024-2025","308","746"
"Schenectady","COUNTY","2024-12-31T00:00:00.000","2024-2025","180","435"
"Schoharie","COUNTY","2024-12-31T00:00:00.000","2024-2025","27","85"
"Schuyler","COUNTY","2024-12-31T00:00:00.000","2024-2025","17","41"
"Seneca","COUNTY","2024-12-31T00:00:00.000","2024-2025","21","77"
"St. Lawrence","COUNTY","2024-12-31T00:00:00.000","2024-2025","54","186"
"Steuben","COUNTY","2024-12-31T00:00:00.000","2024-2025","63","207"
"Suffolk","COUNTY","2024-12-31T00:00:00.000","2024-2025","1163","4291"
"Sullivan","COUNTY","2024-12-31T00:00:00.000","2024-2025","59","149"
"Tioga","COUNTY","2024-12-31T00:00:00.000","2024-2025","53","134"
"Tompkins","COUNTY","2024-12-31T00:00:00.000","2024-2025","210","335"
"Ulster","COUNTY","2024-12-31T00:00:00.000","2024-2025","230","548"
"Warren","COUNTY","2024-12-31T00:00:00.000","2024-2025","44","229"
"Washington","COUNTY","2024-12-31T00:00:00.000","2024-2025","56","199"
"Wayne","COUNTY","2024-12-31T00:00:00.000","2024-2025","85","240"
"Westchester","COUNTY","2024-12-31T00:00:00.000","2024-2025","1140","3035"
"Wyoming","COUNTY","2024-12-31T00:00:00.000","2024-2025","33","109"
"Yates","COUNTY","2024-12-31T00:00:00.000","2024-2025","17","56"
"Capital Region","REGION","2024-12-31T00:00:00.000","2024-2025","1166","2913"
"Central New York","REGION","2024-12-31T00:00:00.000","2024-2025","850","2173"
"Finger Lakes","REGION","2024-12-31T00:00:00.000","2024-2025","1583","3778"
"Long Island","REGION","2024-12-31T00:00:00.000","2024-2025","2291","8855"
"Mid-Hudson","REGION","2024-12-31T00:00:00.000","2024-2025","2257","6938"
"Mohawk Valley","REGION","2024-12-31T00:00:00.000","2024-2025","434","1303"
"New York City","REGION","2024-12-31T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-12-31T00:00:00.000","2024-2025","280","1052"
"Southern Tier","REGION","2024-12-31T00:00:00.000","2024-2025","713","1778"
"Western New York","REGION","2024-12-31T00:00:00.000","2024-2025","1273","3976"
"ROS","REST OF STATE","2024-12-31T00:00:00.000","2024-2025","10847","32766"
"Albany","COUNTY","2025-01-07T00:00:00.000","2024-2025","452","874"
"Allegany","COUNTY","2025-01-07T00:00:00.000","2024-2025","44","127"
"Bronx","COUNTY","2025-01-07T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2025-01-07T00:00:00.000","2024-2025","289","792"
"Cattaraugus","COUNTY","2025-01-07T00:00:00.000","2024-2025","47","195"
"Cayuga","COUNTY","2025-01-07T00:00:00.000","2024-2025","62","196"
"Chautauqua","COUNTY","2025-01-07T00:00:00.000","2024-2025","164","423"
"Chemung","COUNTY","2025-01-07T00:00:00.000","2024-2025","77","318"
"Chenango","COUNTY","2025-01-07T00:00:00.000","2024-2025","59","141"
"Clinton","COUNTY","2025-01-07T00:00:00.000","2024-2025","86","260"
"Columbia","COUNTY","2025-01-07T00:00:00.000","2024-2025","66","210"
"Cortland","COUNTY","2025-01-07T00:00:00.000","2024-2025","71","147"
"Delaware","COUNTY","2025-01-07T00:00:00.000","2024-2025","56","151"
"Dutchess","COUNTY","2025-01-07T00:00:00.000","2024-2025","329","969"
"Erie","COUNTY","2025-01-07T00:00:00.000","2024-2025","1213","3547"
"Essex","COUNTY","2025-01-07T00:00:00.000","2024-2025","58","137"
"Franklin","COUNTY","2025-01-07T00:00:00.000","2024-2025","28","101"
"Fulton","COUNTY","2025-01-07T00:00:00.000","2024-2025","22","142"
"Genesee","COUNTY","2025-01-07T00:00:00.000","2024-2025","45","137"
"Greene","COUNTY","2025-01-07T00:00:00.000","2024-2025","59","141"
"Hamilton","COUNTY","2025-01-07T00:00:00.000","2024-2025","7","17"
"Herkimer","COUNTY","2025-01-07T00:00:00.000","2024-2025","59","197"
"Jefferson","COUNTY","2025-01-07T00:00:00.000","2024-2025","84","442"
"Kings","COUNTY","2025-01-07T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2025-01-07T00:00:00.000","2024-2025","25","103"
"Livingston","COUNTY","2025-01-07T00:00:00.000","2024-2025","77","197"
"Madison","COUNTY","2025-01-07T00:00:00.000","2024-2025","75","266"
"Monroe","COUNTY","2025-01-07T00:00:00.000","2024-2025","1340","2960"
"Montgomery","COUNTY","2025-01-07T00:00:00.000","2024-2025","35","153"
"Nassau","COUNTY","2025-01-07T00:00:00.000","2024-2025","1242","5542"
"New York","COUNTY","2025-01-07T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2025-01-07T00:00:00.000","2024-2025","190","699"
"Oneida","COUNTY","2025-01-07T00:00:00.000","2024-2025","182","646"
"Onondaga","COUNTY","2025-01-07T00:00:00.000","2024-2025","747","1754"
"Ontario","COUNTY","2025-01-07T00:00:00.000","2024-2025","181","442"
"Orange","COUNTY","2025-01-07T00:00:00.000","2024-2025","280","1253"
"Orleans","COUNTY","2025-01-07T00:00:00.000","2024-2025","33","109"
"Oswego","COUNTY","2025-01-07T00:00:00.000","2024-2025","105","409"
"Otsego","COUNTY","2025-01-07T00:00:00.000","2024-2025","129","273"
"Putnam","COUNTY","2025-01-07T00:00:00.000","2024-2025","117","395"
"Queens","COUNTY","2025-01-07T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2025-01-07T00:00:00.000","2024-2025","209","429"
"Richmond","COUNTY","2025-01-07T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2025-01-07T00:00:00.000","2024-2025","247","1326"
"Saratoga","COUNTY","2025-01-07T00:00:00.000","2024-2025","371","849"
"Schenectady","COUNTY","2025-01-07T00:00:00.000","2024-2025","186","516"
"Schoharie","COUNTY","2025-01-07T00:00:00.000","2024-2025","33","114"
"Schuyler","COUNTY","2025-01-07T00:00:00.000","2024-2025","18","51"
"Seneca","COUNTY","2025-01-07T00:00:00.000","2024-2025","35","102"
"St. Lawrence","COUNTY","2025-01-07T00:00:00.000","2024-2025","60","242"
"Steuben","COUNTY","2025-01-07T00:00:00.000","2024-2025","115","290"
"Suffolk","COUNTY","2025-01-07T00:00:00.000","2024-2025","1409","5373"
"Sullivan","COUNTY","2025-01-07T00:00:00.000","2024-2025","75","202"
"Tioga","COUNTY","2025-01-07T00:00:00.000","2024-2025","42","163"
"Tompkins","COUNTY","2025-01-07T00:00:00.000","2024-2025","271","430"
"Ulster","COUNTY","2025-01-07T00:00:00.000","2024-2025","284","640"
"Warren","COUNTY","2025-01-07T00:00:00.000","2024-2025","106","318"
"Washington","COUNTY","2025-01-07T00:00:00.000","2024-2025","58","249"
"Wayne","COUNTY","2025-01-07T00:00:00.000","2024-2025","106","292"
"Westchester","COUNTY","2025-01-07T00:00:00.000","2024-2025","1300","3893"
"Wyoming","COUNTY","2025-01-07T00:00:00.000","2024-2025","40","113"
"Yates","COUNTY","2025-01-07T00:00:00.000","2024-2025","21","77"
"Capital Region","REGION","2025-01-07T00:00:00.000","2024-2025","1507","3586"
"Central New York","REGION","2025-01-07T00:00:00.000","2024-2025","1060","2772"
"Finger Lakes","REGION","2025-01-07T00:00:00.000","2024-2025","1878","4429"
"Long Island","REGION","2025-01-07T00:00:00.000","2024-2025","2651","10915"
"Mid-Hudson","REGION","2025-01-07T00:00:00.000","2024-2025","2632","8678"
"Mohawk Valley","REGION","2025-01-07T00:00:00.000","2024-2025","460","1525"
"New York City","REGION","2025-01-07T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2025-01-07T00:00:00.000","2024-2025","348","1302"
"Southern Tier","REGION","2025-01-07T00:00:00.000","2024-2025","927","2336"
"Western New York","REGION","2025-01-07T00:00:00.000","2024-2025","1658","4991"
"ROS","REST OF STATE","2025-01-07T00:00:00.000","2024-2025","13121","40534"
"Albany","COUNTY","2025-01-14T00:00:00.000","2024-2025","453","1115"
"Allegany","COUNTY","2025-01-14T00:00:00.000","2024-2025","43","111"
"Bronx","COUNTY","2025-01-14T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2025-01-14T00:00:00.000","2024-2025","247","794"
"Cattaraugus","COUNTY","2025-01-14T00:00:00.000","2024-2025","76","214"
"Cayuga","COUNTY","2025-01-14T00:00:00.000","2024-2025","96","263"
"Chautauqua","COUNTY","2025-01-14T00:00:00.000","2024-2025","199","515"
"Chemung","COUNTY","2025-01-14T00:00:00.000","2024-2025","92","324"
"Chenango","COUNTY","2025-01-14T00:00:00.000","2024-2025","59","193"
"Clinton","COUNTY","2025-01-14T00:00:00.000","2024-2025","125","310"
"Columbia","COUNTY","2025-01-14T00:00:00.000","2024-2025","73","216"
"Cortland","COUNTY","2025-01-14T00:00:00.000","2024-2025","63","172"
"Delaware","COUNTY","2025-01-14T00:00:00.000","2024-2025","52","129"
"Dutchess","COUNTY","2025-01-14T00:00:00.000","2024-2025","366","1068"
"Erie","COUNTY","2025-01-14T00:00:00.000","2024-2025","1282","4075"
"Essex","COUNTY","2025-01-14T00:00:00.000","2024-2025","50","133"
"Franklin","COUNTY","2025-01-14T00:00:00.000","2024-2025","46","123"
"Fulton","COUNTY","2025-01-14T00:00:00.000","2024-2025","32","205"
"Genesee","COUNTY","2025-01-14T00:00:00.000","2024-2025","52","189"
"Greene","COUNTY","2025-01-14T00:00:00.000","2024-2025","54","163"
"Hamilton","COUNTY","2025-01-14T00:00:00.000","2024-2025","3","14"
"Herkimer","COUNTY","2025-01-14T00:00:00.000","2024-2025","65","257"
"Jefferson","COUNTY","2025-01-14T00:00:00.000","2024-2025","99","555"
"Kings","COUNTY","2025-01-14T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2025-01-14T00:00:00.000","2024-2025","22","99"
"Livingston","COUNTY","2025-01-14T00:00:00.000","2024-2025","84","204"
"Madison","COUNTY","2025-01-14T00:00:00.000","2024-2025","93","295"
"Monroe","COUNTY","2025-01-14T00:00:00.000","2024-2025","1496","3464"
"Montgomery","COUNTY","2025-01-14T00:00:00.000","2024-2025","40","204"
"Nassau","COUNTY","2025-01-14T00:00:00.000","2024-2025","1146","5646"
"New York","COUNTY","2025-01-14T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2025-01-14T00:00:00.000","2024-2025","216","798"
"Oneida","COUNTY","2025-01-14T00:00:00.000","2024-2025","241","866"
"Onondaga","COUNTY","2025-01-14T00:00:00.000","2024-2025","863","1936"
"Ontario","COUNTY","2025-01-14T00:00:00.000","2024-2025","165","446"
"Orange","COUNTY","2025-01-14T00:00:00.000","2024-2025","268","1362"
"Orleans","COUNTY","2025-01-14T00:00:00.000","2024-2025","45","96"
"Oswego","COUNTY","2025-01-14T00:00:00.000","2024-2025","117","517"
"Otsego","COUNTY","2025-01-14T00:00:00.000","2024-2025","129","279"
"Putnam","COUNTY","2025-01-14T00:00:00.000","2024-2025","115","445"
"Queens","COUNTY","2025-01-14T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2025-01-14T00:00:00.000","2024-2025","204","510"
"Richmond","COUNTY","2025-01-14T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2025-01-14T00:00:00.000","2024-2025","230","1461"
"Saratoga","COUNTY","2025-01-14T00:00:00.000","2024-2025","418","1038"
"Schenectady","COUNTY","2025-01-14T00:00:00.000","2024-2025","267","701"
"Schoharie","COUNTY","2025-01-14T00:00:00.000","2024-2025","49","145"
"Schuyler","COUNTY","2025-01-14T00:00:00.000","2024-2025","23","73"
"Seneca","COUNTY","2025-01-14T00:00:00.000","2024-2025","42","124"
"St. Lawrence","COUNTY","2025-01-14T00:00:00.000","2024-2025","74","354"
"Steuben","COUNTY","2025-01-14T00:00:00.000","2024-2025","116","338"
"Suffolk","COUNTY","2025-01-14T00:00:00.000","2024-2025","1328","5670"
"Sullivan","COUNTY","2025-01-14T00:00:00.000","2024-2025","69","245"
"Tioga","COUNTY","2025-01-14T00:00:00.000","2024-2025","75","178"
"Tompkins","COUNTY","2025-01-14T00:00:00.000","2024-2025","255","565"
"Ulster","COUNTY","2025-01-14T00:00:00.000","2024-2025","280","699"
"Warren","COUNTY","2025-01-14T00:00:00.000","2024-2025","106","337"
"Washington","COUNTY","2025-01-14T00:00:00.000","2024-2025","82","300"
"Wayne","COUNTY","2025-01-14T00:00:00.000","2024-2025","134","345"
"Westchester","COUNTY","2025-01-14T00:00:00.000","2024-2025","1318","4307"
"Wyoming","COUNTY","2025-01-14T00:00:00.000","2024-2025","34","107"
"Yates","COUNTY","2025-01-14T00:00:00.000","2024-2025","25","79"
"Capital Region","REGION","2025-01-14T00:00:00.000","2024-2025","1657","4380"
"Central New York","REGION","2025-01-14T00:00:00.000","2024-2025","1232","3183"
"Finger Lakes","REGION","2025-01-14T00:00:00.000","2024-2025","2077","5054"
"Long Island","REGION","2025-01-14T00:00:00.000","2024-2025","2474","11316"
"Mid-Hudson","REGION","2025-01-14T00:00:00.000","2024-2025","2646","9587"
"Mohawk Valley","REGION","2025-01-14T00:00:00.000","2024-2025","556","1956"
"New York City","REGION","2025-01-14T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2025-01-14T00:00:00.000","2024-2025","419","1588"
"Southern Tier","REGION","2025-01-14T00:00:00.000","2024-2025","919","2594"
"Western New York","REGION","2025-01-14T00:00:00.000","2024-2025","1816","5713"
"ROS","REST OF STATE","2025-01-14T00:00:00.000","2024-2025","13796","45371"
"Albany","COUNTY","2025-01-21T00:00:00.000","2024-2025","383","789"
"Allegany","COUNTY","2025-01-21T00:00:00.000","2024-2025","23","108"
"Bronx","COUNTY","2025-01-21T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2025-01-21T00:00:00.000","2024-2025","155","693"
"Cattaraugus","COUNTY","2025-01-21T00:00:00.000","2024-2025","47","158"
"Cayuga","COUNTY","2025-01-21T00:00:00.000","2024-2025","53","231"
"Chautauqua","COUNTY","2025-01-21T00:00:00.000","2024-2025","150","373"
"Chemung","COUNTY","2025-01-21T00:00:00.000","2024-2025","63","274"
"Chenango","COUNTY","2025-01-21T00:00:00.000","2024-2025","54","163"
"Clinton","COUNTY","2025-01-21T00:00:00.000","2024-2025","91","254"
"Columbia","COUNTY","2025-01-21T00:00:00.000","2024-2025","58","208"
"Cortland","COUNTY","2025-01-21T00:00:00.000","2024-2025","59","139"
"Delaware","COUNTY","2025-01-21T00:00:00.000","2024-2025","62","131"
"Dutchess","COUNTY","2025-01-21T00:00:00.000","2024-2025","255","752"
"Erie","COUNTY","2025-01-21T00:00:00.000","2024-2025","904","3056"
"Essex","COUNTY","2025-01-21T00:00:00.000","2024-2025","48","126"
"Franklin","COUNTY","2025-01-21T00:00:00.000","2024-2025","43","92"
"Fulton","COUNTY","2025-01-21T00:00:00.000","2024-2025","18","135"
"Genesee","COUNTY","2025-01-21T00:00:00.000","2024-2025","55","136"
"Greene","COUNTY","2025-01-21T00:00:00.000","2024-2025","39","112"
"Hamilton","COUNTY","2025-01-21T00:00:00.000","2024-2025","5","12"
"Herkimer","COUNTY","2025-01-21T00:00:00.000","2024-2025","52","165"
"Jefferson","COUNTY","2025-01-21T00:00:00.000","2024-2025","69","440"
"Kings","COUNTY","2025-01-21T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2025-01-21T00:00:00.000","2024-2025","14","80"
"Livingston","COUNTY","2025-01-21T00:00:00.000","2024-2025","73","179"
"Madison","COUNTY","2025-01-21T00:00:00.000","2024-2025","89","238"
"Monroe","COUNTY","2025-01-21T00:00:00.000","2024-2025","1199","2714"
"Montgomery","COUNTY","2025-01-21T00:00:00.000","2024-2025","42","176"
"Nassau","COUNTY","2025-01-21T00:00:00.000","2024-2025","914","4638"
"New York","COUNTY","2025-01-21T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2025-01-21T00:00:00.000","2024-2025","140","621"
"Oneida","COUNTY","2025-01-21T00:00:00.000","2024-2025","183","693"
"Onondaga","COUNTY","2025-01-21T00:00:00.000","2024-2025","654","1632"
"Ontario","COUNTY","2025-01-21T00:00:00.000","2024-2025","144","347"
"Orange","COUNTY","2025-01-21T00:00:00.000","2024-2025","195","1033"
"Orleans","COUNTY","2025-01-21T00:00:00.000","2024-2025","16","63"
"Oswego","COUNTY","2025-01-21T00:00:00.000","2024-2025","92","437"
"Otsego","COUNTY","2025-01-21T00:00:00.000","2024-2025","111","238"
"Putnam","COUNTY","2025-01-21T00:00:00.000","2024-2025","81","312"
"Queens","COUNTY","2025-01-21T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2025-01-21T00:00:00.000","2024-2025","177","381"
"Richmond","COUNTY","2025-01-21T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2025-01-21T00:00:00.000","2024-2025","186","1299"
"Saratoga","COUNTY","2025-01-21T00:00:00.000","2024-2025","275","790"
"Schenectady","COUNTY","2025-01-21T00:00:00.000","2024-2025","199","545"
"Schoharie","COUNTY","2025-01-21T00:00:00.000","2024-2025","25","98"
"Schuyler","COUNTY","2025-01-21T00:00:00.000","2024-2025","14","47"
"Seneca","COUNTY","2025-01-21T00:00:00.000","2024-2025","17","91"
"St. Lawrence","COUNTY","2025-01-21T00:00:00.000","2024-2025","41","281"
"Steuben","COUNTY","2025-01-21T00:00:00.000","2024-2025","63","253"
"Suffolk","COUNTY","2025-01-21T00:00:00.000","2024-2025","987","4223"
"Sullivan","COUNTY","2025-01-21T00:00:00.000","2024-2025","46","176"
"Tioga","COUNTY","2025-01-21T00:00:00.000","2024-2025","60","179"
"Tompkins","COUNTY","2025-01-21T00:00:00.000","2024-2025","271","472"
"Ulster","COUNTY","2025-01-21T00:00:00.000","2024-2025","201","584"
"Warren","COUNTY","2025-01-21T00:00:00.000","2024-2025","69","285"
"Washington","COUNTY","2025-01-21T00:00:00.000","2024-2025","66","256"
"Wayne","COUNTY","2025-01-21T00:00:00.000","2024-2025","84","300"
"Westchester","COUNTY","2025-01-21T00:00:00.000","2024-2025","926","3362"
